query_id,rewrite,model,method
97_8,Steelers defense defensive unit,gemma4:31b,rewriter 2
98_1,What is the environmental cost of food production? ecological impact agriculture sustainability,gemma4:31b,rewriter 2
98_2,environmental cost of water use for meat production water footprint livestock,gemma4:31b,rewriter 2
98_3,How much less water is used for vegetable production than for meat production? vegetables produce crops,gemma4:31b,rewriter 2
98_4,What are the benefits of being vegetarian? plant-based diet meat-free,gemma4:31b,rewriter 2
98_5,Are there any health concerns with being vegetarian? vegetarianism plant-based diet,gemma4:31b,rewriter 2
98_6,What are the protein sources for vegetarians? plant-based proteins legumes pulses,gemma4:31b,rewriter 2
98_7,almond recipes almonds,gemma4:31b,rewriter 2
98_8,How do you make almond flour? ground almonds meal,gemma4:31b,rewriter 2
99_1,What is high blood carbon dioxide? hypercapnia hypercarbia,gemma4:31b,rewriter 2
99_2,treatment for high blood carbon dioxide hypercapnia,gemma4:31b,rewriter 2
99_3,How to treat high cholesterol? hyperlipidemia hypercholesterolemia,gemma4:31b,rewriter 2
99_4,What should I eat to improve high cholesterol? diet nutrition foods,gemma4:31b,rewriter 2
99_5,differences between the two types of cholesterol fats LDL HDL,gemma4:31b,rewriter 2
99_6,Is the other type of cholesterol good for you? HDL good cholesterol,gemma4:31b,rewriter 2
99_7,What other foods are good sources of HDL cholesterol? healthy fats good cholesterol,gemma4:31b,rewriter 2
99_8,What types of fats does olive oil contain? unsaturated fats lipids,gemma4:31b,rewriter 2
100_1,What causes my teeth to chip off? dental fractures chipped teeth,gemma4:31b,rewriter 2
100_2,how to fix chipped teeth dental treatments repair,gemma4:31b,rewriter 2
100_3,how do the options for fixing a larger chipped tooth differ dental bonding veneers crowns filling,gemma4:31b,rewriter 2
100_4,dental crown vs dental implant for chipped teeth implant tooth replacement,gemma4:31b,rewriter 2
100_5,dental crown vs dental implant cost price expense,gemma4:31b,rewriter 2
100_6,What is the insurance coverage for a dental crown? dental insurance reimbursement policy,gemma4:31b,rewriter 2
100_7,What is the coverage of the crown in Medicare? medicare insurance,gemma4:31b,rewriter 2
100_8,covered dentists in Seattle Medicare providers network,gemma4:31b,rewriter 2
101_1,What is Melania Trump's religion? faith belief,gemma4:31b,rewriter 2
101_2,What did Melania Trump do before she was married? career profession occupation,gemma4:31b,rewriter 2
101_3,Does Melania Trump have children? kids offspring,gemma4:31b,rewriter 2
101_4,How old is Donald Trump? Donald Trump,gemma4:31b,rewriter 2
101_5,Where is the Kit Kat Club where Donald and Melania Trump met? Kit Kat Club location,gemma4:31b,rewriter 2
101_6,When did Melania Trump become a model? fashion career,gemma4:31b,rewriter 2
101_7,Do we pay the First Lady? salary compensation remuneration,gemma4:31b,rewriter 2
101_8,What about Ivanka Trump? Ivanka,gemma4:31b,rewriter 2
101_9,Does Jared Kushner get paid as the First Lady's husband? Jared Kushner salary payment,gemma4:31b,rewriter 2
101_10,What does Jared Kushner do at the White House? Jared Kushner,gemma4:31b,rewriter 2
102_1,When did social security start in the US? Social Security Act,gemma4:31b,rewriter 2
102_2,Was US social security mandatory? compulsory required,gemma4:31b,rewriter 2
102_3,Who received the first US social security check? social security benefits payment,gemma4:31b,rewriter 2
102_4,When did the US government start borrowing from social security? Social Security Trust Fund OASDI,gemma4:31b,rewriter 2
102_5,How much is owed to social security US government borrowing Social Security Trust Fund debt,gemma4:31b,rewriter 2
102_6,When will US social security run out of money? Social Security Trust Fund insolvency depletion,gemma4:31b,rewriter 2
102_7,What will happen when Social Security runs out of money? Social Security insolvency depletion,gemma4:31b,rewriter 2
102_8,Can US social security be fixed? social security solvency solutions reform,gemma4:31b,rewriter 2
102_9,How much of an increase to fix social security? increase raise hike,gemma4:31b,rewriter 2
103_1,"Why were the Grateful Dead such an influential live band? Grateful Dead ""The Dead""",gemma4:31b,rewriter 2
103_2,Why did the Grateful Dead allow live recordings? taping bootlegs,gemma4:31b,rewriter 2
103_3,Did the Grateful Dead have a #1 hit? Grateful Dead,gemma4:31b,rewriter 2
103_4,Who was the leader of the Grateful Dead? lead guitarist frontman,gemma4:31b,rewriter 2
103_5,How did the leader of the Grateful Dead lose his finger? Jerry Garcia,gemma4:31b,rewriter 2
103_6,What was Jerry Garcia's relationship to Jefferson Airplane? Jeffrey Airplane,gemma4:31b,rewriter 2
103_8,Who wrote the song Cassidy? lyrics songwriter,gemma4:31b,rewriter 2
103_9,What else did the authors of the song Cassidy write? songwriters compositions,gemma4:31b,rewriter 2
103_10,Why did the Grateful Dead break up? breakup dissolve split,gemma4:31b,rewriter 2
104_1,well-known Information Retrieval researchers IR scholars,gemma4:31b,rewriter 2
104_3,Who are some important British Information Retrieval researchers? IR UK,gemma4:31b,rewriter 2
104_4,What did the British Information Retrieval researcher's studies contribute to evaluation? assessment metrics benchmarking,gemma4:31b,rewriter 2
104_6,How did the experiments of British Information Retrieval researchers influence modern initiatives? IR evaluation benchmarks,gemma4:31b,rewriter 2
104_7,What is TREC? Text REtrieval Conference,gemma4:31b,rewriter 2
104_8,What are some recent TREC tasks? Text REtrieval Conference,gemma4:31b,rewriter 2
104_9,What is e-Discovery in the context of TREC tasks? electronic discovery,gemma4:31b,rewriter 2
104_10,What are the important components of a test collection? benchmark dataset evaluation corpus,gemma4:31b,rewriter 2
104_12,What are important measures for web search engines? metrics evaluation benchmarks,gemma4:31b,rewriter 2
104_13,What are important measures for online web search engines? online metrics performance indicators,gemma4:31b,rewriter 2
105_1,When did the Black Lives Matter campaign begin? BLM movement start date,gemma4:31b,rewriter 2
105_2,Black Lives Matter campaign origins and early events BLM movement start,gemma4:31b,rewriter 2
105_3,Why was he acquitted?,gemma4:31b,rewriter 2
105_4,what happened to Michael Brown Black Lives Matter Michael Brown shooting,gemma4:31b,rewriter 2
105_5,Who named the Black Lives Matter movement? BLM,gemma4:31b,rewriter 2
105_6,What was the US reaction to the Black Lives Matter movement? USA response,gemma4:31b,rewriter 2
105_7,movement of the police supporters Blue Lives Matter,gemma4:31b,rewriter 2
105_8,Why were Michael Brown and the victims of the Black Lives Matter movement killed? deaths fatalities,gemma4:31b,rewriter 2
105_9,What else motivates the Black Lives Matter movement? goals objectives drivers,gemma4:31b,rewriter 2
